ConfigurationTriggerTime,configurationId,Crawled_Date,Ecommerce,Pincode,City,Country_Of_Origin,Navision_Code,SKU_Name,Brand_Name,Product_Name,MRP,Discount_Percentage,Discount_Amount,Price,Speciality,Rating_Count,Avg_Rating,Review_Count,Stock,Seller,Coupon,Offer,Weight,Unit_Of_Weight,Delivery,Recommend_Percentage,Key_Features,Super_Offer,Super_Saver,Available_Product_Count,Max_Allowed_Quantity,Other_Id,Other_Quantity,Service_Status
,,12/15/2025 02:36:29,amazon,110075,,,,Veg Mayo Delite 750gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise De'lite 750g | Low Calorie Eggless Mayo | Creamy &amp; Light Tasting | No Cholesterol or Trans Fat | Ideal for Sandwiches, Burgers, Wraps, Salads &amp; Dips",,,,,                                                    Trans Fat Free ,-1831,4.3,,Out of Stock,,,,750,Gram,,,,,,,,,,serviced
,,12/15/2025 02:36:34,amazon,110075,,,,Veg Mayo Original 800gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 800g Pouch | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",,,,,"                                                    Gluten Free, Natural, Vegetarian ",-2215,4.4,,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/15/2025 02:36:39,amazon,110075,,,,Veg Original 250gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 250g | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",,,,,                                                    Vegetarian ,-903,4.4,,Out of Stock,,,,250,Gram,,,,,,,,,,serviced
,,12/15/2025 02:36:46,amazon,110075,,,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pasta &amp; Pizza Red Sauce, 315g | Ready to Use for Saucy Pastas &amp; Lip-Smacking Pizzas | Tangy &amp; Herby | Ideal for Pasta, Pizza &amp; Italian Recipes",99,6,,93,                                                    Vegetarian ,-5797,4.3,,Instock,,,,315,Gram,,,,,,,,,,serviced
,,12/15/2025 02:36:52,amazon,110075,,,,Pizza Topping 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pizza Topping Sauce All-in-One, 315g | Rich Tomato &amp; Herb Sauce | Ideal for all types of Homemade Pizza",,,,,,-1229,4.3,,Out of Stock,,,,315,Gram,,,,,,,,,,serviced
,,12/15/2025 02:36:58,amazon,110075,,,,Pasta Pizza Red Sauce 800gm,Dr.Oetker,"Dr. Oetker FunFoods Pasta &amp; Pizza Red Sauce, 750g/800g Pouch | Ready to Use for Saucy Pastas &amp; Lip-Smacking Pizzas | Tangy &amp; Herby | Ideal for Pasta, Pizza &amp; Italian Recipes",187,19,,152,                                                    No Artificial Colours ,-5797,4.3,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:05,amazon,110075,,,,Peanut Butter Crunchy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Crunchy,750G|91% Roasted Peanuts|25% Protein per 100G|Source Of Vitamin E,B3 &amp; B6|Nutty &amp; Sweetened Nut Butter|Plant-Based Protein Spread",187,15,,159,                                                    Vegan ,-824,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:09,amazon,110075,,,,Peanut Butter Creamy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Creamy,750 G|91% Roasted Peanuts|26% Protein Per 100 G|Source Of Vitamin E,B3 &amp; B6|Smooth &amp; Sweetened Nut Butter|Plant-Based Protein Spread",,,,,                                                    Vegan ,-292,4.3,,Out of Stock,,,,750,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:19,amazon,110075,,,,Peanut Butter Crunchy 375gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Crunchy, 375g | 91% Roasted Peanuts | 25% Protein per 100g| Source of Vitamin E, B3 &amp; B6 | Nutty &amp; Sweetened Nut Butter | Plant-Based Protein Spread | No Palm Oil, Gluten or Cholesterol | Ideal for Breakfast, Snacks &amp; Fitness.",139,7,,129,                                                    Preservative Free ,-3838,4.2,,Instock,,,,375,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:25,amazon,110075,,,,Peanut Butter Creamy 375gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Creamy, 375g | 91% Roasted Peanuts | 26% Protein per 100g| Source of Vitamin E, B3 &amp; B6 | Smooth &amp; Sweetened Nut Butter | Plant-Based Protein Spread | No Palm Oil, Gluten or Cholesterol | Ideal for Breakfast, Snacks &amp; Fitness.",129,5,,122,"                                                    No Cholesterol, No Trans Fat ",-286,4.2,,Instock,,,,375,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:31,amazon,110075,,,,Eggless Veg Mayonnaise 875gm,Veeba,Veeba Eggless Mayonnaise (875g),210,30,,146,                                                    No Artificial Flavours ,-3789,4.3,,Instock,,,,875,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:37,amazon,110075,,,,Original Premium Veg Mayo 800gm,Wingreens,"Wingreens Farms Premium Veg Mayo, 800g",,,,,                                                    Vegetarian ,-5373,4.3,,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:43,amazon,110075,,,,Real Mayo 800gm,Hellmann's,Hellmann's Veg Mayonnaise|| 100% Vegetarian Creamy Mayo Used For Dressings And Condiments|| 800 g,,,,,                                                    Vegetarian ,-7957,4.4,,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:50,amazon,110075,,,,Eggless Mayo 850gm,Del Monte,"Del Monte Eggless Mayonnaise, 900g",,,,,                                                    no preservatives ,-13453,4.3,,Out of Stock,,,,850,Gram,,,,,,,,,,serviced
,,12/15/2025 02:37:55,amazon,110075,,,,Chef Special Veg mayonnaise Smart 750gm,Veeba,Veeba Chef's Special Veg Mayonnaise Smart (750g),210,30,,148,"                                                    Gluten Free, No Artificial Colours, No Artificial Flavours, Vegan, Vegetarian ",-608,4,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/15/2025 02:38:02,amazon,110075,,,,Eggless Veg Mayonnaise 700gm,Veeba,"Veeba Eggless Mayonnaise (700 Grams) I Veg Mayonnaise I 100% Vegetarian Mayo I Extra Creamy and Delicious I Rich and Thick Texture I Dip, Spread and Dunk( Image May Vary )",220,23,,169,                                                    Vegetarian ,-3527,4.3,,Instock,,,,700,Gram,,,,,,,,,,serviced
,,12/15/2025 02:44:28,amazon,140603,,,,Veg Mayo Delite 750gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise De'lite 750g | Low Calorie Eggless Mayo | Creamy &amp; Light Tasting | No Cholesterol or Trans Fat | Ideal for Sandwiches, Burgers, Wraps, Salads &amp; Dips",189,31,,130,                                                    Trans Fat Free ,-1831,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/15/2025 02:44:33,amazon,140603,,,,Veg Mayo Original 800gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 800g Pouch | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",187,11,,167,"                                                    Gluten Free, Natural, Vegetarian ",-2215,4.4,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/15/2025 02:44:47,amazon,140603,,,,Pasta Pizza Red Sauce 800gm,Dr.Oetker,"Dr. Oetker FunFoods Pasta &amp; Pizza Red Sauce, 750g/800g Pouch | Ready to Use for Saucy Pastas &amp; Lip-Smacking Pizzas | Tangy &amp; Herby | Ideal for Pasta, Pizza &amp; Italian Recipes",,,,,                                                    No Artificial Colours ,-5797,4.3,,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/15/2025 02:44:52,amazon,140603,,,,Peanut Butter Crunchy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Crunchy,750G|91% Roasted Peanuts|25% Protein per 100G|Source Of Vitamin E,B3 &amp; B6|Nutty &amp; Sweetened Nut Butter|Plant-Based Protein Spread",187,,,187,                                                    Vegan ,-824,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/15/2025 02:44:59,amazon,140603,,,,Peanut Butter Creamy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Creamy,750 G|91% Roasted Peanuts|26% Protein Per 100 G|Source Of Vitamin E,B3 &amp; B6|Smooth &amp; Sweetened Nut Butter|Plant-Based Protein Spread",199,15,,169,                                                    Vegan ,-292,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/15/2025 02:45:07,amazon,140603,,,,Peanut Butter Creamy 375gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Creamy, 375g | 91% Roasted Peanuts | 26% Protein per 100g| Source of Vitamin E, B3 &amp; B6 | Smooth &amp; Sweetened Nut Butter | Plant-Based Protein Spread | No Palm Oil, Gluten or Cholesterol | Ideal for Breakfast, Snacks &amp; Fitness.",165,,,165,"                                                    No Cholesterol, No Trans Fat ",-286,4.2,,Instock,,,,375,Gram,,,,,,,,,,serviced
,,12/15/2025 02:45:20,amazon,140603,,,,Real Mayo 800gm,Hellmann's,Hellmann's Veg Mayonnaise|| 100% Vegetarian Creamy Mayo Used For Dressings And Condiments|| 800 g,,,,,                                                    Vegetarian ,-7957,4.4,,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/15/2025 02:45:26,amazon,140603,,,,Eggless Mayo 850gm,Del Monte,"Del Monte Eggless Mayonnaise, 900g",199,31,,138,                                                    no preservatives ,-13453,4.3,,Instock,,,,850,Gram,,,,,,,,,,serviced
,,12/15/2025 02:45:32,amazon,140603,,,,Chef Special Veg mayonnaise Smart 750gm,Veeba,Veeba Chef's Special Veg Mayonnaise Smart (750g),210,30,,148,"                                                    Gluten Free, No Artificial Colours, No Artificial Flavours, Vegan, Vegetarian ",-608,4,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/15/2025 02:45:38,amazon,140603,,,,Eggless Veg Mayonnaise 700gm,Veeba,"Veeba Eggless Mayonnaise (700 Grams) I Veg Mayonnaise I 100% Vegetarian Mayo I Extra Creamy and Delicious I Rich and Thick Texture I Dip, Spread and Dunk( Image May Vary )",220,23,,169,                                                    Vegetarian ,-3527,4.3,,Instock,,,,700,Gram,,,,,,,,,,serviced
,,12/15/2025 02:48:32,amazon,201012,,,,Veg Mayo Original 800gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 800g Pouch | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",187,16,,158,,-2215,4.4,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/15/2025 02:48:37,amazon,201012,,,,Veg Original 250gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 250g | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",93,,,93,,-903,4.4,,Instock,,,,250,Gram,,,,,,,,,,serviced
