ConfigurationTriggerTime,configurationId,Crawled_Date,Ecommerce,Pincode,City,Country_Of_Origin,Navision_Code,SKU_Name,Brand_Name,Product_Name,MRP,Discount_Percentage,Discount_Amount,Price,Speciality,Rating_Count,Avg_Rating,Review_Count,Stock,Seller,Coupon,Offer,Weight,Unit_Of_Weight,Delivery,Recommend_Percentage,Key_Features,Super_Offer,Super_Saver,Available_Product_Count,Max_Allowed_Quantity,Other_Id,Other_Quantity,Service_Status
,,12/22/2025 02:35:13,amazon,110058,,,,Veg Mayo Delite 750gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise De'lite 750g | Low Calorie Eggless Mayo | Creamy &amp; Light Tasting | No Cholesterol or Trans Fat | Ideal for Sandwiches, Burgers, Wraps, Salads &amp; Dips",,,,,                                                    Trans Fat Free ,-1836,4.3,,Out of Stock,,,,750,Gram,,,,,,,,,,serviced
,,12/22/2025 02:35:19,amazon,110058,,,,Veg Mayo Original 800gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 800g Pouch | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",,,,,"                                                    Gluten Free, Natural, Vegetarian ",-2230,4.4,,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/22/2025 02:35:25,amazon,110058,,,,Veg Original 250gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 250g | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",93,14,,80,                                                    Vegetarian ,-913,4.4,,Instock,,,,250,Gram,,,,,,,,,,serviced
,,12/22/2025 02:35:31,amazon,110058,,,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pasta &amp; Pizza Red Sauce, 315g | Ready to Use for Saucy Pastas &amp; Lip-Smacking Pizzas | Tangy &amp; Herby | Ideal for Pasta, Pizza &amp; Italian Recipes",,,,,                                                    Vegetarian ,-5807,4.3,,Out of Stock,,,,315,Gram,,,,,,,,,,serviced
,,12/22/2025 02:35:37,amazon,110058,,,,Pizza Topping 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pizza Topping Sauce All-in-One, 315g | Rich Tomato &amp; Herb Sauce | Ideal for all types of Homemade Pizza",93,,,93,,-1233,4.3,,Instock,,,,315,Gram,,,,,,,,,,serviced
,,12/22/2025 02:35:42,amazon,110058,,,,Pasta Pizza Red Sauce 800gm,Dr.Oetker,"Dr. Oetker FunFoods Pasta &amp; Pizza Red Sauce, 750g/800g Pouch | Ready to Use for Saucy Pastas &amp; Lip-Smacking Pizzas | Tangy &amp; Herby | Ideal for Pasta, Pizza &amp; Italian Recipes",187,,,187,                                                    No Artificial Colours ,-5807,4.3,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/22/2025 02:35:48,amazon,110058,,,,Peanut Butter Crunchy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Crunchy,750G|91% Roasted Peanuts|25% Protein per 100G|Source Of Vitamin E,B3 &amp; B6|Nutty &amp; Sweetened Nut Butter|Plant-Based Protein Spread",187,20,,150,                                                    Vegan ,-847,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/22/2025 02:35:54,amazon,110058,,,,Peanut Butter Creamy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Creamy,750 G|91% Roasted Peanuts|26% Protein Per 100 G|Source Of Vitamin E,B3 &amp; B6|Smooth &amp; Sweetened Nut Butter|Plant-Based Protein Spread",187,25,,141,                                                    Vegan ,-297,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/22/2025 02:36:00,amazon,110058,,,,Peanut Butter Crunchy 375gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Crunchy, 375g | 91% Roasted Peanuts | 25% Protein per 100g| Source of Vitamin E, B3 &amp; B6 | Nutty &amp; Sweetened Nut Butter | Plant-Based Protein Spread | No Palm Oil, Gluten or Cholesterol | Ideal for Breakfast, Snacks &amp; Fitness.",129,19,,105,                                                    Preservative Free ,-3843,4.2,,Instock,,,,375,Gram,,,,,,,,,,serviced
,,12/22/2025 02:36:07,amazon,110058,,,,Peanut Butter Creamy 375gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Creamy, 375g | 91% Roasted Peanuts | 26% Protein per 100g| Source of Vitamin E, B3 &amp; B6 | Smooth &amp; Sweetened Nut Butter | Plant-Based Protein Spread | No Palm Oil, Gluten or Cholesterol | Ideal for Breakfast, Snacks &amp; Fitness.",129,5,,123,"                                                    No Cholesterol, No Trans Fat ",-287,4.2,,Instock,,,,375,Gram,,,,,,,,,,serviced
