ConfigurationTriggerTime,configurationId,Crawled_Date,Ecommerce,Pincode,City,Country_Of_Origin,Navision_Code,SKU_Name,Brand_Name,Product_Name,MRP,Discount_Percentage,Discount_Amount,Price,Speciality,Rating_Count,Avg_Rating,Review_Count,Stock,Seller,Coupon,Offer,Weight,Unit_Of_Weight,Delivery,Recommend_Percentage,Key_Features,Super_Offer,Super_Saver,Available_Product_Count,Max_Allowed_Quantity,Other_Id,Other_Quantity,Service_Status
,,12/22/2025 00:24:59,Bigbasket,110027,,India,,Veg Mayo Delite 750gm,Dr.Oetker,"Dr.Oetker FunFoods De'lite Veg Mayonnaise, 750 g Pouch",189,11,,169,,708,4.1,3,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:03,Bigbasket,110027,,India,,Veg Mayo Original 800gm,Dr.Oetker,"Dr.Oetker FunFoods Original Veg Mayonnaise, 800 g ",187,19,,168,,12878,4.2,172,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:10,Bigbasket,110027,,India,,Veg Original 250gm,Dr.Oetker,"Dr.Oetker FunFoods Original Veg Mayonnaise, 250 g ",93,,,93,,12878,4.2,172,Instock,,,,250,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:14,Bigbasket,110027,,India,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,"Dr.Oetker FunFoods Pasta &amp; Pizza Red Sauce, 315 g ",93,,,93,,4548,4.1,83,Instock,,,,315,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:20,Bigbasket,110027,,India,,Pizza Topping 315gm,Dr.Oetker,"Dr.Oetker FunFoods Pizza Topping All-In-One Sauce, 315 g ",93,,,93,,1367,4.2,25,Instock,,,,315,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:25,Bigbasket,110027,,India,,Pasta Pizza Red Sauce 800gm,Dr.Oetker,"Dr.Oetker Funfoods Pasta &amp; Pizza Sauce, 750 g ",187,19,,152,,4548,4.1,83,Out of Stock,,,,750,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:29,Bigbasket,110027,,India,,Peanut Butter Crunchy 750gm,Dr.Oetker,"Dr.Oetker FunFoods Crunchy Peanut Butter, 750 g ",187,,,187,,2164,4.2,53,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:33,Bigbasket,110027,,India,,Peanut Butter Creamy 750gm,Dr.Oetker,"Dr.Oetker FunFoods Creamy Peanut Butter, 750 g ",187,19,,168.3,,970,4.2,33,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:38,Bigbasket,110027,,India,,Peanut Butter Crunchy 375gm,Dr.Oetker,"Dr.Oetker FunFoods Peanut Butter - Crunchy, 375 g ",129,13,,116.1,,2164,4.2,53,Instock,,,,375,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:42,Bigbasket,110027,,India,,Peanut Butter Creamy 375gm,Dr.Oetker,"Dr.Oetker FunFoods Creamy Peanut Butter, 375 g Jar",129,13,,116.1,,970,4.2,33,Instock,,,,375,Gram,,,,,,,,,,serviced
,,12/22/2025 00:25:48,Bigbasket,110027,,India,,Original Premium Veg Mayo 800gm,Wingreens,"Wingreens Farms Original Recipe Premium Veg Mayo - With Sunflower Oil, 800 g ",250,50,,125,,1005,4,14,Instock,,,,800,Gram,,,,,,,,,,serviced
